item,disambig,sentence,qtype,question,answer,group
31,n1,The aunt of the milkman who had to support herself with a low income liked to fish.,Int,,No,f
31,n2,The aunt of the milkman who had to support himself with a low income liked to fish.,Int,,No,i
31,ambig,The uncle of the milkman who had to support himself with a low income liked to fish.,Rel,Was it the uncle who was self-supportive?,Yes/No,a
31,n1,The aunt of the milkman who had to support herself with a low income liked to fish.,Rel,Was it the milkman who was self-supportive?,No,d
31,n2,The aunt of the milkman who had to support himself with a low income liked to fish.,Rel,Was it the aunt who was self-supportive?,No,g
31,ambig,The uncle of the milkman who had to support himself with a low income liked to fish.,Sup,Did anyone have a high income?,No,b
31,n1,The aunt of the milkman who had to support herself with a low income liked to fish.,Sup,Did anyone have a high income?,No,e
31,n2,The aunt of the milkman who had to support himself with a low income liked to fish.,Sup,Did anyone have a high income?,No,h
32,n2,The nephew of the duchess who looked at herself in the mirror wore a blue shirt.,Int,,Yes,c
32,ambig,The niece of the duchess who looked at herself in the mirror wore a blue shirt.,Int,,Yes,f
32,n1,The nephew of the duchess who looked at himself in the mirror wore a blue shirt.,Int,,Yes,i
32,n2,The nephew of the duchess who looked at herself in the mirror wore a blue shirt.,Rel,Was it the duchess who looked in the mirror?,Yes,a
32,ambig,The niece of the duchess who looked at herself in the mirror wore a blue shirt.,Rel,Was it the niece who looked in the mirror?,Yes/No,d
32,n1,The nephew of the duchess who looked at himself in the mirror wore a blue shirt.,Rel,Was it the nephew who looked in the mirror?,Yes,g
32,n2,The nephew of the duchess who looked at herself in the mirror wore a blue shirt.,Sup,Did anyone wear a blue shirt?,Yes,b
32,ambig,The niece of the duchess who looked at herself in the mirror wore a blue shirt.,Sup,Did anyone wear a blue shirt?,Yes,e
32,n1,The nephew of the duchess who looked at himself in the mirror wore a blue shirt.,Sup,Did anyone wear a blue shirt?,Yes,h
33,n1,The maid of the duke who did not like herself very much caught the armed robber.,Int,,No,c
33,n2,The maid of the duke who did not like himself very much caught the armed robber.,Int,,No,f
33,ambig,The butler of the duke who did not like himself very much caught the armed robber.,Int,,No,i
33,n1,The maid of the duke who did not like herself very much caught the armed robber.,Rel,Was it the duke who didn't like himself?,No,a
33,n2,The maid of the duke who did not like himself very much caught the armed robber.,Rel,Was it the maid who didn't like herself?,No,d
33,ambig,The butler of the duke who did not like himself very much caught the armed robber.,Rel,Was it the butler who didn't like himself?,Yes/No,g
33,n1,The maid of the duke who did not like herself very much caught the armed robber.,Sup,Was the robber unarmed?,No,b
33,n2,The maid of the duke who did not like himself very much caught the armed robber.,Sup,Was the robber unarmed?,No,e
33,ambig,The butler of the duke who did not like himself very much caught the armed robber.,Sup,Was the robber unarmed?,No,h
34,ambig,The waitress of the woman who considered herself a natural beauty spilled the drinks.,Int,,Yes,c
34,n1,The waiter of the woman who considered himself a natural beauty spilled the drinks.,Int,,Yes,f
34,n2,The waiter of the woman who considered herself a natural beauty spilled the drinks.,Int,,Yes,i
34,ambig,The waitress of the woman who considered herself a natural beauty spilled the drinks.,Rel,Was it the waitress who was conceited?,Yes/No,a
34,n1,The waiter of the woman who considered himself a natural beauty spilled the drinks.,Rel,Was it the waiter who was conceited?,Yes,d
34,n2,The waiter of the woman who considered herself a natural beauty spilled the drinks.,Rel,Was it the woman who was conceited?,Yes,g
34,ambig,The waitress of the woman who considered herself a natural beauty spilled the drinks.,Sup,Did anyone spill something?,Yes,b
34,n1,The waiter of the woman who considered himself a natural beauty spilled the drinks.,Sup,Did anyone spill something?,Yes,e
34,n2,The waiter of the woman who considered herself a natural beauty spilled the drinks.,Sup,Did anyone spill something?,Yes,h
35,n2,The landlady of the businessman who had locked himself in the office received a phone call.,Int,,No,c
35,ambig,The landlord of the businessman who had locked himself in the office received a phone call.,Int,,No,f
35,n1,The landlady of the businessman who had locked herself in the office received a phone call.,Int,,No,i
35,n2,The landlady of the businessman who had locked himself in the office received a phone call.,Rel,Was it the landlady who was locked up?,No,a
35,ambig,The landlord of the businessman who had locked himself in the office received a phone call.,Rel,Was it the landlord who was locked up?,Yes/No,d
35,n1,The landlady of the businessman who had locked herself in the office received a phone call.,Rel,Was it the businessman who was locked up?,No,g
35,n2,The landlady of the businessman who had locked himself in the office received a phone call.,Sup,Did anyone dial the phone?,No,b
35,ambig,The landlord of the businessman who had locked himself in the office received a phone call.,Sup,Did anyone dial the phone?,No,e
35,n1,The landlady of the businessman who had locked herself in the office received a phone call.,Sup,Did anyone dial the phone?,No,h
36,n1,The son of the saleswoman who talked to himself all the time walked into the room.,Int,Did anyone enter the room?,Yes,c
36,n2,The son of the saleswoman who talked to herself all the time walked into the room.,Int,Did anyone enter the room?,Yes,f
36,ambig,The daughter of the saleswoman who talked to herself all the time walked into  the room.,Int,Did anyone enter the room?,Yes,i
36,n1,The son of the saleswoman who talked to himself all the time walked into the room.,Rel,Was it the son who talked to himself?,Yes,a
36,n2,The son of the saleswoman who talked to herself all the time walked into the room.,Rel,Was it the saleswoman who talked to herself?,Yes,d
36,ambig,The daughter of the saleswoman who talked to herself all the time walked into  the room.,Rel,Was it the daughter who talked to herself?,Yes/No,g
36,n1,The son of the saleswoman who talked to himself all the time walked into the room.,Sup,Did anyone enter the room?,Yes,b
36,n2,The son of the saleswoman who talked to herself all the time walked into the room.,Sup,Did anyone enter the room?,Yes,e
36,ambig,The daughter of the saleswoman who talked to herself all the time walked into  the room.,Sup,Did anyone enter the room?,Yes,h
